Food,category,meal_type,food_type,diet_type,energy,protein,carbs,fat,fiber,sugars,sodium,is_leafy_green,is_alcohol,quantity,image
Manioc Chips ,Snack,Dinner,side,veg,250,2,0,13,3,0,320,0,0,1 cup,/static/foods/Manioc Chips.webp 
Boiled Manioc (Cassava) ,Roots,Breakfast,main,veg,220,2,0,0.5,3,2,15,0,0,3 Slices,/static/foods/Boiled Manioc (Cassava).webp 
Roasted Peanuts ,Grain,Lunch,side,veg,170,7,0,14,3,1,5,0,0,1 cup,/static/foods/Roasted Peanuts.jpg 
Curd (Buffalo) + Treacle ,Dairy,Lunch,side,veg,260,9,0,12,0,26,120,0,0,1 cup,/static/foods/Curd (Buffalo) + Treacle.jpg 
Parippu Wade ,Snack,Dinner,side,veg,320,10,0,14,6,2,520,0,0,2 Slices,/static/foods/Parippu Wade.png 
Vegetable Soup,Vegetable,Dinner,main,veg,60,4,10,0.5,4,2,132,0,0,1 cup,/static/foods/Vegetable Soup.jpg
Vegetable Soup,Vegetable,Breakfast,side,veg,60,4,10,0.5,4,2,132,0,0,1 cup,/static/foods/Vegetable Soup.jpg
Beet Root Salad,Vegetable,Lunch,side,veg,45,2.1,8,0.9,2.8,5,110,0,0,1 cup,/static/foods/Beet Root Salad.jpg
Carrot Salad,Vegetable,Lunch,side,veg,41,0.9,10,0.2,2.8,0,0,0,0,1 cup,/static/foods/Carrot Salad.jpg
Lotus Root Curry,Meals,Lunch,side,veg,66,2,16,0.1,3,0,281,0,0,1 cup,/static/foods/Lotus Root Curry.jpg
Leeks Sambola,Vegetable,Lunch,side,veg,32.3,1.6,4.9,0.25,2.27,3.15,<5,0,0,1 cup,/static/foods/Leeks Sambola.jpg
Mushroom Curry,Meal/Protein,Lunch,side,veg,81,3.2,7.1,4.4,4,3,101,0,0,1 cup,/static/foods/Mushroom Curry.jpg
Anguna Kola Mallum ,Vegetable,Lunch,side,veg,0,0,0,0,0,0,0,1,0,1 cup,/static/foods/Anguna Kola Mallum .jpg
Kathurumurunga Mallum,Vegetable,Lunch,side,veg,28,0,5.2,0.2,2.6,0,0,1,0,1 cup,/static/foods/Kathurumurunga Mallum.jpg
Cassava Leaves,Vegetable,Lunch,side,veg,91,1,7,0.2,0.5,0,36,1,0,1 cup,/static/foods/Cassava Leaves.jpg
Whole Wheat Toast ,Grain,Dinner,main,veg,80,4,14,1,2,2,140,0,0,1 Slice,/static/foods/Whole Wheat Toast .jpg
Black Coffee,Beverage,Dinner,drink,veg,5,0.3,0,0.1,0,0,5,0,0,1 cup,/static/foods/Black Coffee.jpg
Grilled Chicken Salad,Meal/Protein,Dinner,protein,non_veg,350,30,10,20,5,4,400,0,0,1 cup,/static/foods/Grilled Chicken Salad.jpg
Quinoa ,Grain,Breakfast,main,veg,222,8,39,3.6,5,1,13,0,0,1 cup,/static/foods/Quinoa .jpg
Steamed Broccoli ,Vegetable,Dinner,side,veg,55,3.7,11.2,0.6,5.1,2,40,0,0,1 cup,/static/foods/Steamed Broccoli .jpg
Greek Yogurt ,Dairy,Lunch,side,non_veg,150,25,8,3,0,7,85,0,0,1 cup,/static/foods/Greek Yogurt.jpg
Oatmeal,Grain,Breakfast,main,veg,160,6,28,3,4,1,2,0,0,1 cup,/static/foods/Oatmeal.jpg
Blueberries ,Fruit,Breakfast,side,veg,42,0.5,11,0.2,1.8,7,1,0,0,1/2 cup,/static/foods/Blueberries .jpg
Turkey Sandwich ,Meal/Processed,Breakfast,main,veg,340,22,34,12,5,6,850,0,0,4 Slices,/static/foods/Turkey Sandwich.jpg
Carrot Sticks ,Vegetable,Lunch,side,veg,52,1.2,12.3,0.3,3.6,6,88,0,0,1 cup,/static/foods/Carrot Sticks .jpg
Spaghetti Bolognese,Meal/Pasta,Dinner,main,non_veg,460,20,55,18,6,10,700,0,0,1 cup,/static/foods/Spaghetti Bolognese.jpg
Flakes ,Grain,Breakfast,main,veg,130,2,31,0,1,11,190,0,0,1 cup,/static/foods/Flakes.jpg
Lentil Soup ,Meal/Legume,Dinner,main,veg,230,15,35,3,12,6,650,0,0,1 cup,/static/foods/Lentil Soup .jpg
Beef Steak ,Protein/Meat,Dinner,side,non_veg,270,11,55,1.5,2,5,430,0,0,1 piece,/static/foods/Beef Steak .webp
Baked Potato ,Vegetable,Breakfast,side,veg,160,4.3,36,0.2,3.8,1,17,0,0,Medium,/static/foods/Baked Potato .jpg
Avocado Toast ,Meal/Vegetarian,Breakfast,main,veg,260,7,28,15,10,1,350,0,0,1 Slice,/static/foods/Avocado Toast .jpg
Hard-Boiled Egg ,Protein,Breakfast,side,non_veg,78,6.3,0.6,5.3,0,0.5,62,0,0,1 Large,/static/foods/Hard-Boiled Egg .jpg
Chicken Wrap ,Meal/Processed,Dinner,main,non_veg,410,25,38,17,5,3,780,0,0,1 Wrap,/static/foods/Chicken Wrap .avif
Black Beans ,Legume,Breakfast,main,veg,114,7.6,20.4,0.5,7.5,0.3,1,0,0,1/2 cup,/static/foods/Black Beans .jpg
Chicken Noodle Soup ,Meal/Processed,Dinner,main,non_veg,150,7,18,5,2,2,890,0,0,1 cup,/static/foods/Chicken Noodle Soup .jpg
Celery Sticks ,Vegetable,Lunch,side,veg,14,0.6,3,0.2,1.4,1.2,77,0,0,1 cup,/static/foods/Celery Sticks .webp
Green Beans ,Vegetable,Dinner,side,veg,31,1.8,7,0.2,2.7,3.3,6,0,0,1 cup,/static/foods/Green Beans .jpg
Green Tea ,Beverage,Dinner,side,veg,2,0.5,0,0,0,0,2,0,0,1 cup,/static/foods/Green Tea .webp
Pancakes ,Grain,Breakfast,main,non_veg,180,5,30,5,1,6,450,0,0,2 Medium,/static/foods/Pancakes .jpg
Fruit & Yogurt Smoothie ,Beverage/Meal,Breakfast,side,non_veg,280,12,55,3,7,40,70,0,0,1 Glass,/static/foods/Fruit & Yogurt Smoothie .jpg
Fruit & Yogurt Smoothie ,Beverage/Meal,Dinner,side,non_veg,280,12,55,3,7,40,70,0,0,1 Glass,/static/foods/Fruit & Yogurt Smoothie .jpg
Brown Rice ,Grain,Lunch,main,veg,215,5,45,1.8,3.5,0.4,10,0,0,1 cup,/static/foods/Brown Rice .jpg
Bell Pepper Salad,Vegetable,Lunch,side,veg,31,1.2,6,0.3,2.1,4.2,4,0,0,1 cup,/static/foods/Bell Pepper Salad.jpg
Pita Bread ,Grain,Breakfast,main,veg,170,6,35,1.5,5,2,320,0,0,4 Slices,/static/foods/Pita Bread.jpg
Fried Pork Chop ,Protein/Meat,Dinner,main,non_veg,220,30,0,10,0,0,70,0,0,4 Slices,/static/foods/Fried Pork Chop.jpg
Mashed Potatoes ,Vegetable,Dinner,main,veg,230,4,35,8,3,2,350,0,0,1 cup,/static/foods/Mashed Potatoes.jpg
Chicken Caesar Salad ,Meal/Protein,Dinner,main,non_veg,470,30,15,30,3,3,890,0,0,1 cup,/static/foods/Chicken Caesar Salad.jpg 
Orange Juice ,Beverage,Lunch,side,veg,112,1.7,25.8,0.5,0.7,20.8,2,0,0,1 Glass,/static/foods/Orange Juice.jpg 
Bacon,Protein/Meat,Dinner,side,non_veg,86,6,0.2,6.8,0,0.1,330,0,0,2 Slices,/static/foods/Bacon.jpg
Mushroom Curry,Meal/Protein,Dinner,side,veg,81,3.2,7.1,4.4,4,3,101,0,0,1 cup,/static/foods/Mushroom Curry.jpg
Mixed Nuts ,Nut,Dinner,side,veg,200,6,8,18,3,2,1,0,0,1 cup,/static/foods/Mixed Nuts.webp
Mixed Nuts ,Nut,Breakfast,side,veg,200,6,8,18,3,2,1,0,0,1 cup,/static/foods/Mixed Nuts.webp
Asparagus ,Vegetable,Lunch,side,veg,40,4.3,7.4,0.4,3.6,3.5,4,0,0,1 cup,/static/foods/Asparagus. webp
Raisins ,Fruit,Breakfast,side,veg,130,1.3,34,0.2,1.6,25,5,0,0,1/4 cup,/static/foods/Raisins.jpg
Vegetable Macaroni ,Meal/Pasta,Breakfast,main,veg,350,2,40,17,2,5,750,0,0,1 cup,/static/foods/Vegetable Macaroni .jpg
Vegetable Macaroni ,Meal/Pasta,Dinner,main,veg,350,2,40,17,2,5,750,0,0,1 cup,/static/foods/Vegetable Macaroni .jpg
Chicken Macaroni ,Meal/Pasta,Dinner,main,veg,350,10,40,17,2,5,750,0,0,1 cup,/static/foods/Chicken Macaroni.webp
