Drug_Ingredient,Food,label,Calories,Protein,Fat,Carbs,Herbal_Risk,Alcohol_Risk,Iron_Rich,High_Fat,High_Protein,Therapeutic_Class,Action_Class
Eptifibatide,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  BLOOD RELATED ,  Glycoprotein IIb/IIIa inhibitor
Eptifibatide,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  BLOOD RELATED ,  Glycoprotein IIb/IIIa inhibitor
Eptifibatide,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  BLOOD RELATED ,  Glycoprotein IIb/IIIa inhibitor
Eptifibatide,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  BLOOD RELATED ,  Glycoprotein IIb/IIIa inhibitor
Eptifibatide,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  BLOOD RELATED ,  Glycoprotein IIb/IIIa inhibitor
Eptifibatide,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  BLOOD RELATED ,  Glycoprotein IIb/IIIa inhibitor
Eptifibatide,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  BLOOD RELATED ,  Glycoprotein IIb/IIIa inhibitor
Eptifibatide,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  BLOOD RELATED ,  Glycoprotein IIb/IIIa inhibitor
Eptifibatide,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  BLOOD RELATED ,  Glycoprotein IIb/IIIa inhibitor
Eptifibatide,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  BLOOD RELATED ,  Glycoprotein IIb/IIIa inhibitor
Eptifibatide,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  BLOOD RELATED ,  Glycoprotein IIb/IIIa inhibitor
Eptifibatide,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  BLOOD RELATED ,  Glycoprotein IIb/IIIa inhibitor
Eptifibatide,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  BLOOD RELATED ,  Glycoprotein IIb/IIIa inhibitor
Eptifibatide,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  BLOOD RELATED ,  Glycoprotein IIb/IIIa inhibitor
Eptifibatide,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  BLOOD RELATED ,  Glycoprotein IIb/IIIa inhibitor
Eptifibatide,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  BLOOD RELATED ,  Glycoprotein IIb/IIIa inhibitor
Eptifibatide,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  BLOOD RELATED ,  Glycoprotein IIb/IIIa inhibitor
Eptifibatide,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  BLOOD RELATED ,  Glycoprotein IIb/IIIa inhibitor
Eptifibatide,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  BLOOD RELATED ,  Glycoprotein IIb/IIIa inhibitor
Eptifibatide,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  BLOOD RELATED ,  Glycoprotein IIb/IIIa inhibitor
Eptifibatide,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  BLOOD RELATED ,  Glycoprotein IIb/IIIa inhibitor
Eptifibatide,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  BLOOD RELATED ,  Glycoprotein IIb/IIIa inhibitor
Eptifibatide,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  BLOOD RELATED ,  Glycoprotein IIb/IIIa inhibitor
Eptifibatide,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  BLOOD RELATED ,  Glycoprotein IIb/IIIa inhibitor
Eptifibatide,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  BLOOD RELATED ,  Glycoprotein IIb/IIIa inhibitor
Ibritumomab tiuxetan,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,Unknown,Unknown
Ibritumomab tiuxetan,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,Unknown,Unknown
Streptokinase,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  CARDIAC ,  First Generation Thrombolytic
Streptokinase,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  CARDIAC ,  First Generation Thrombolytic
Streptokinase,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  CARDIAC ,  First Generation Thrombolytic
Streptokinase,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  CARDIAC ,  First Generation Thrombolytic
Streptokinase,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  CARDIAC ,  First Generation Thrombolytic
Streptokinase,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  CARDIAC ,  First Generation Thrombolytic
Streptokinase,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  CARDIAC ,  First Generation Thrombolytic
Streptokinase,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  CARDIAC ,  First Generation Thrombolytic
Streptokinase,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  CARDIAC ,  First Generation Thrombolytic
Streptokinase,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  CARDIAC ,  First Generation Thrombolytic
Streptokinase,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  CARDIAC ,  First Generation Thrombolytic
Streptokinase,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  CARDIAC ,  First Generation Thrombolytic
Streptokinase,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  CARDIAC ,  First Generation Thrombolytic
Streptokinase,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  CARDIAC ,  First Generation Thrombolytic
Streptokinase,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  CARDIAC ,  First Generation Thrombolytic
Streptokinase,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  CARDIAC ,  First Generation Thrombolytic
Streptokinase,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  CARDIAC ,  First Generation Thrombolytic
Streptokinase,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  CARDIAC ,  First Generation Thrombolytic
Streptokinase,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  CARDIAC ,  First Generation Thrombolytic
Streptokinase,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  CARDIAC ,  First Generation Thrombolytic
Dicoumarol,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,Unknown,Unknown
Dicoumarol,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,Unknown,Unknown
Argatroban,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,Unknown,Unknown
Argatroban,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,Unknown,Unknown
Ardeparin,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,Unknown,Unknown
Ardeparin,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,Unknown,Unknown
Phenindione,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  BLOOD RELATED ,  Vitamin K antagonist
Phenindione,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  BLOOD RELATED ,  Vitamin K antagonist
Fondaparinux,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  CARDIAC ,  Selective inhibitor of activated Factor 
Fondaparinux,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  CARDIAC ,  Selective inhibitor of activated Factor 
Fondaparinux,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  CARDIAC ,  Selective inhibitor of activated Factor 
Fondaparinux,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  CARDIAC ,  Selective inhibitor of activated Factor 
Fondaparinux,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  CARDIAC ,  Selective inhibitor of activated Factor 
Fondaparinux,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  CARDIAC ,  Selective inhibitor of activated Factor 
Fondaparinux,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  CARDIAC ,  Selective inhibitor of activated Factor 
Fondaparinux,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  CARDIAC ,  Selective inhibitor of activated Factor 
Fondaparinux,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  CARDIAC ,  Selective inhibitor of activated Factor 
Fondaparinux,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  CARDIAC ,  Selective inhibitor of activated Factor 
Fondaparinux,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  CARDIAC ,  Selective inhibitor of activated Factor 
Fondaparinux,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  CARDIAC ,  Selective inhibitor of activated Factor 
Fondaparinux,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  CARDIAC ,  Selective inhibitor of activated Factor 
Fondaparinux,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  CARDIAC ,  Selective inhibitor of activated Factor 
Fondaparinux,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  CARDIAC ,  Selective inhibitor of activated Factor 
Fondaparinux,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  CARDIAC ,  Selective inhibitor of activated Factor 
Fondaparinux,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  CARDIAC ,  Selective inhibitor of activated Factor 
Fondaparinux,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  CARDIAC ,  Selective inhibitor of activated Factor 
Fondaparinux,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  CARDIAC ,  Selective inhibitor of activated Factor 
Fondaparinux,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  CARDIAC ,  Selective inhibitor of activated Factor 
Fondaparinux,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  CARDIAC ,  Selective inhibitor of activated Factor 
Fondaparinux,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  CARDIAC ,  Selective inhibitor of activated Factor 
Fondaparinux,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  CARDIAC ,  Selective inhibitor of activated Factor 
Fondaparinux,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  CARDIAC ,  Selective inhibitor of activated Factor 
Fondaparinux,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  CARDIAC ,  Selective inhibitor of activated Factor 
Fondaparinux,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  CARDIAC ,  Selective inhibitor of activated Factor 
Fondaparinux,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  CARDIAC ,  Selective inhibitor of activated Factor 
Fondaparinux,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  CARDIAC ,  Selective inhibitor of activated Factor 
Warfarin,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  CARDIAC ,  Vitamin K antagonist
Warfarin,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  CARDIAC ,  Vitamin K antagonist
Warfarin,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  CARDIAC ,  Vitamin K antagonist
Warfarin,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  CARDIAC ,  Vitamin K antagonist
Warfarin,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  CARDIAC ,  Vitamin K antagonist
Warfarin,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  CARDIAC ,  Vitamin K antagonist
Warfarin,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  CARDIAC ,  Vitamin K antagonist
